"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CCL5",0,2.14066362015218,0.718,0.138,0,"0","CCL5",0.58
"IL7R",0,1.75800668413633,0.597,0.129,0,"0","IL7R",0.468
"KLRB1",0,1.73457972379857,0.403,0.024,0,"0","KLRB1",0.379
"CD2",0,1.67310593614816,0.81,0.097,0,"0","CD2",0.713
"GZMK",0,1.6542754457196,0.421,0.03,0,"0","GZMK",0.391
"NKG7",0,1.61838242381719,0.471,0.082,0,"0","NKG7",0.389
"CD3D",0,1.55572858918499,0.732,0.079,0,"0","CD3D",0.653
"CD3E",0,1.47838436880173,0.718,0.07,0,"0","CD3E",0.648
"GZMA",0,1.46851208206815,0.533,0.067,0,"0","GZMA",0.466
"ID2",0,1.42019203724593,0.737,0.325,0,"0","ID2",0.412
"TRBC2",0,1.40200911490834,0.672,0.128,0,"0","TRBC2",0.544
"CD3G",0,1.37772590691057,0.654,0.066,0,"0","CD3G",0.588
"TRAC",0,1.35225326153076,0.657,0.099,0,"0","TRAC",0.558
"TRBC1",0,1.34617951420461,0.487,0.063,0,"0","TRBC1",0.424
"HCST",0,1.30297839704645,0.729,0.213,0,"0","HCST",0.516
"IL32",0,1.29161951765999,0.887,0.311,0,"0","IL32",0.576
"SRSF7",0,1.16411990615501,0.821,0.449,0,"0","SRSF7",0.372
"GIMAP7",0,1.16167857074768,0.538,0.081,0,"0","GIMAP7",0.457
"CLEC2D",0,1.12050222997249,0.608,0.14,0,"0","CLEC2D",0.468
"FYN",0,1.10703265834256,0.602,0.171,0,"0","FYN",0.431
"RPS15A",0,1.10321551873809,0.972,0.65,0,"0","RPS15A",0.322
"CD52",0,1.06080121380849,0.748,0.281,0,"0","CD52",0.467
"EVL",0,1.05840605119637,0.614,0.189,0,"0","EVL",0.425
"RPS27",0,1.05112769578614,0.992,0.761,0,"0","RPS27",0.231
"ETS1",0,1.04824091332878,0.716,0.248,0,"0","ETS1",0.468
"RPS3",0,1.02972821231511,0.964,0.641,0,"0","RPS3",0.323
"BCL11B",0,1.02625897938177,0.457,0.075,0,"0","BCL11B",0.382
"RPS12",0,1.01272210062781,0.98,0.663,0,"0","RPS12",0.317
"RORA",0,1.00611318257875,0.497,0.121,0,"0","RORA",0.376
"HEXIM1",0,1.00487544061552,0.62,0.32,0,"0","HEXIM1",0.3
"PPP2R5C",0,1.0000047220548,0.713,0.378,0,"0","PPP2R5C",0.335
"AAK1",0,0.998767917577454,0.668,0.265,0,"0","AAK1",0.403
"CD7",0,0.995837545618284,0.446,0.071,0,"0","CD7",0.375
"CD96",0,0.990841080652342,0.472,0.059,0,"0","CD96",0.413
"PIK3R1",0,0.986818014789018,0.508,0.221,0,"0","PIK3R1",0.287
"SLFN5",0,0.960317564483554,0.492,0.155,0,"0","SLFN5",0.337
"RPS29",0,0.955337591814467,0.988,0.712,0,"0","RPS29",0.276
"PYHIN1",0,0.95509492783846,0.385,0.054,0,"0","PYHIN1",0.331
"ACAP1",0,0.950542756672158,0.601,0.18,0,"0","ACAP1",0.421
"RPL26",0,0.948808709918926,0.944,0.61,0,"0","RPL26",0.334
"RPS27A",0,0.94831154520549,0.974,0.702,0,"0","RPS27A",0.272
"CD8A",0,0.94364050098745,0.284,0.028,0,"0","CD8A",0.256
"RPL30",0,0.940730771347989,0.976,0.74,0,"0","RPL30",0.236
"RPS10",0,0.928298924416285,0.796,0.47,0,"0","RPS10",0.326
"SPOCK2",0,0.921211060558265,0.448,0.077,0,"0","SPOCK2",0.371
"TSPYL2",0,0.918435883592264,0.476,0.2,0,"0","TSPYL2",0.276
"RPS4Y1",0,0.910715967474844,0.521,0.143,0,"0","RPS4Y1",0.378
"JUN",0,0.909821078523091,0.77,0.53,0,"0","JUN",0.24
"AC245297.3",0,0.905343271933102,0.662,0.297,0,"0","AC245297.3",0.365
"SAMD3",0,0.898202746907129,0.345,0.037,0,"0","SAMD3",0.308
"IL2RB",0,0.8945120563644,0.341,0.057,0,"0","IL2RB",0.284
"RPL13",0,0.89137668890262,0.988,0.672,0,"0","RPL13",0.316
"CD247",0,0.888266916268616,0.401,0.053,0,"0","CD247",0.348
"GZMM",0,0.885408590013422,0.363,0.021,0,"0","GZMM",0.342
"RPL23A",0,0.884942191116714,0.971,0.632,0,"0","RPL23A",0.339
"RPL34",0,0.87891512593426,0.979,0.708,0,"0","RPL34",0.271
"RPS19",0,0.875700625630337,0.981,0.653,0,"0","RPS19",0.328
"DNAJB1",0,0.871346226062346,0.745,0.555,0,"0","DNAJB1",0.19
"RPS3A",0,0.868753771668835,0.963,0.665,0,"0","RPS3A",0.298
"RPL32",0,0.865616012643891,0.974,0.666,0,"0","RPL32",0.308
"ARL4C",0,0.852968430633026,0.554,0.215,0,"0","ARL4C",0.339
"RPS14",0,0.851269123380618,0.972,0.664,0,"0","RPS14",0.308
"CST7",0,0.847119138464779,0.442,0.11,0,"0","CST7",0.332
"RASGRP1",0,0.846555644864536,0.408,0.075,0,"0","RASGRP1",0.333
"RPL10",0,0.839756531988728,0.981,0.667,0,"0","RPL10",0.314
"TOMM7",0,0.832619934670576,0.805,0.504,0,"0","TOMM7",0.301
"RPL14",0,0.828208097443587,0.951,0.622,0,"0","RPL14",0.329
"LCK",0,0.822813002292843,0.428,0.068,0,"0","LCK",0.36
"SYTL3",0,0.821755421120928,0.392,0.082,0,"0","SYTL3",0.31
"RPS7",0,0.817260851731943,0.946,0.621,0,"0","RPS7",0.325
"SH2D1A",0,0.815666993302914,0.343,0.039,0,"0","SH2D1A",0.304
"DDX24",0,0.811029506587635,0.697,0.406,0,"0","DDX24",0.291
"RPL21",0,0.810092483657057,0.964,0.697,0,"0","RPL21",0.267
"RPL28",0,0.804915946761671,0.988,0.764,0,"0","RPL28",0.224
"GADD45B",0,0.80469206946373,0.663,0.419,0,"0","GADD45B",0.244
"PTPN22",0,0.80427832552688,0.385,0.128,0,"0","PTPN22",0.257
"SKAP1",0,0.80223972912405,0.392,0.06,0,"0","SKAP1",0.332
"GPRIN3",0,0.797644698606912,0.387,0.113,0,"0","GPRIN3",0.274
"RPL3",0,0.796090469206614,0.949,0.624,0,"0","RPL3",0.325
"SLFN12L",0,0.794367360514755,0.325,0.043,0,"0","SLFN12L",0.282
"RPL39",0,0.793912534555439,0.974,0.751,0,"0","RPL39",0.223
"RPLP1",0,0.791239326229675,0.99,0.738,0,"0","RPLP1",0.252
"CD6",0,0.786586596580451,0.348,0.038,0,"0","CD6",0.31
"RPS25",0,0.783524986916185,0.954,0.657,0,"0","RPS25",0.297
"SLC38A1",0,0.783411404330437,0.526,0.215,0,"0","SLC38A1",0.311
"RPS21",0,0.782760175617321,0.951,0.62,0,"0","RPS21",0.331
"LINC01871",0,0.782017982812224,0.271,0.042,0,"0","LINC01871",0.229
"RPL9",0,0.778615083731114,0.958,0.669,0,"0","RPL9",0.289
"RUNX3",0,0.773369171125025,0.538,0.235,0,"0","RUNX3",0.303
"IKZF3",0,0.771741661779476,0.497,0.185,0,"0","IKZF3",0.312
"TRGC2",0,0.771659556900646,0.275,0.034,0,"0","TRGC2",0.241
"ATM",0,0.770263384235916,0.555,0.29,0,"0","ATM",0.265
"CNOT6L",0,0.768302518525837,0.515,0.27,0,"0","CNOT6L",0.245
"RPL35A",0,0.767679080796575,0.959,0.635,0,"0","RPL35A",0.324
"RPL41",0,0.763225210308584,0.991,0.807,0,"0","RPL41",0.184
"RPS18",0,0.760710987235404,0.982,0.664,0,"0","RPS18",0.318
"RPL24",0,0.759990469632765,0.945,0.632,0,"0","RPL24",0.313
"ITM2A",0,0.759767422467635,0.36,0.077,0,"0","ITM2A",0.283
