p_val	avg_log2FC	pct.1	pct.2	p_val_adj
XIST	0	3.48105805447596	0.488	0.058	0
TXNIP	0	-1.69046137529682	0.45	0.863	0
GZMK	0	-1.82995436165045	0.142	0.55	0
TNFAIP3	0	2.94091524437389	0.877	0.472	0
RPS4Y1	0	-1.37152129733238	0.256	0.635	0
ATP1B3	0	2.58868344721276	0.589	0.218	0
KLRB1	0	-2.3045632303086	0.164	0.512	0
RPS10	0	-0.913186355468127	0.566	0.902	0
CREM	0	2.19610214490878	0.67	0.336	0
ZNF331	0	1.78822404488306	0.626	0.322	0
HSPA1B	0	-1.90596882985103	0.464	0.745	0
GZMB	0	3.55910562098818	0.357	0.085	0
IER2	0	-1.28401547806826	0.603	0.874	0
DUSP4	0	3.10160966880966	0.39	0.122	0
CTLA4	0	4.04982933440341	0.288	0.036	0
NR4A3	0	2.74737119818464	0.326	0.078	0
REL	0	1.52083108231424	0.759	0.53	0
CXCR4	0	1.5749955453118	0.759	0.537	0
CXCL8	0	5.07035825763757	0.209	0.008	0
COL3A1	0	11.5609477731763	0.18	0	0
MT-ND5	0	-0.668931266387303	0.878	0.979	0
SRGN	0	1.1006566552653	0.881	0.785	0
RPL26	0	-0.743778105910721	0.879	0.974	0
RPS27A	0	-0.560614923002815	0.954	0.984	0
PABPC1	1.0807927923641e-303	0.830697767820921	0.924	0.91	2.65269782957846e-299
NR4A2	2.38377001918077e-299	1.39151334515241	0.701	0.436	5.85072513507729e-295
RPL30	1.14695387068044e-291	-0.550776393061183	0.957	0.985	2.81508358019807e-287
RGS1	4.31127017981704e-290	1.91388447535216	0.599	0.355	1.05815815293429e-285
COL1A2	3.39590209475258e-287	12.9972271036859	0.139	0	8.33490210136073e-283
PPP1R10	1.24519588366091e-285	-1.01159288346117	0.51	0.804	3.05620877685733e-281
KLRG1	4.4119297765364e-284	-3.08298608306722	0.044	0.322	1.0828640443531e-279
RNF139	3.10116865254143e-282	2.40837998172058	0.361	0.112	7.61150834079768e-278
RPL41	3.93852076294247e-282	-0.455652956965947	0.989	0.992	9.66670536056599e-278
RPS3	6.98091596038677e-282	-0.568779264733156	0.932	0.98	1.71339601331733e-277
COL1A1	1.73190933647038e-279	6.52598596980145	0.146	0.003	4.2507982754329e-275
RPS18	2.63239195232113e-277	-0.540022324079644	0.971	0.987	6.46094280777698e-273
TNF	1.71711226503895e-269	-2.01787813571699	0.149	0.449	4.2144803433116e-265
RGCC	7.4390150684537e-269	1.69919311800214	0.557	0.287	1.82583185840128e-264
FOSL2	9.64553059910139e-267	2.21378401755322	0.433	0.181	2.36739903024344e-262
GADD45B	9.96395554888553e-266	-1.05879800492389	0.443	0.76	2.44555324991846e-261
GIMAP7	2.56185813117875e-264	-1.2101612553455	0.324	0.635	6.28782459716512e-260
MTRNR2L12	4.50334337413303e-264	-0.569821056990504	0.743	0.971	1.10530059774721e-259
HSPA1A	1.04388818958624e-261	-1.84728363298903	0.485	0.712	2.56211917252047e-257
AHI1	2.8871666735751e-255	2.61605788229248	0.329	0.102	7.08626188362271e-251
DNAJB6	1.03576061309858e-253	1.22385516610399	0.672	0.457	2.54217084878917e-249
GNLY	1.46297847664113e-253	3.3512169203797	0.323	0.102	3.59073437306799e-249
RPL23A	8.24189041115001e-253	-0.515762341268872	0.951	0.981	2.02288958251266e-248
RPS12	3.23874623525996e-252	-0.510577964473384	0.964	0.988	7.94917875982203e-248
NAMPT	3.15209523805745e-250	2.03599481513706	0.448	0.196	7.73650255228821e-246
MTHFD2	5.17194366827036e-250	2.73915290075158	0.285	0.074	1.26940185394028e-245
GEM	8.64760238809758e-240	5.57240050397534	0.135	0.006	2.12246753013467e-235
RPL13	8.22387564033178e-239	-0.480944276949145	0.982	0.992	2.01846803716303e-234
KRT19	6.34997482013397e-235	7.84226297027499	0.118	0.001	1.55853781985368e-230
RPL10	1.48073633826579e-231	-0.49041346789757	0.97	0.986	3.63431926863955e-227
MT-ATP6	3.1843892710625e-231	-0.387843746637476	0.992	0.997	7.8157650268958e-227
TFRC	6.09942128744407e-231	1.67923897407248	0.485	0.236	1.49704196079027e-226
RPS15A	1.3217114757565e-226	-0.474966851244693	0.952	0.982	3.24400864609675e-222
AGR2	1.74080268402441e-220	9.39287389348264	0.109	0	4.27262610766952e-216
AL451085.1	5.45950610549589e-220	-2.87133817261016	0.046	0.275	1.33998117853291e-215
MYBL1	7.58181154667145e-220	-2.63951714493784	0.056	0.294	1.86087982601504e-215
KRT18	1.40963119438848e-219	4.61814730079561	0.148	0.013	3.45979880350708e-215
LDLRAD4	1.61448587232798e-219	2.67093862363009	0.325	0.115	3.9625941250418e-215
ID2	2.67029662171284e-219	-1.11989339173684	0.592	0.808	6.55397602833199e-215
RBPJ	4.28252406398381e-215	2.03571718640932	0.541	0.334	1.05110270626419e-210
ENTPD1	4.37509035906327e-214	4.43007816733786	0.139	0.011	1.07382217772849e-209
IGHA1	3.18835542218395e-213	5.33528422112164	0.113	0.003	7.82549954820828e-209
AC091271.1	4.95563555470796e-213	-2.61128333828613	0.062	0.294	1.21631119054752e-208
CD55	4.90177693679967e-211	2.07365338627165	0.406	0.188	1.20309213136811e-206
MT-CYB	6.95846812527087e-210	-0.451949019740097	0.977	0.995	1.70788641666648e-205
RPS23	4.00425804797983e-208	-0.451117000342848	0.941	0.979	9.8280509529617e-204
IRF4	1.08924969692914e-205	2.82596632181378	0.217	0.048	2.67345445614288e-201
DNAJA1	6.00149342213052e-204	0.717766323085286	0.839	0.711	1.47300654552772e-199
PTMA	7.24119958732264e-201	0.428141124236487	0.99	0.987	1.77728002671247e-196
EZH2	3.13835511054206e-199	2.36746878057238	0.263	0.076	7.70277878331443e-195
KRT8	3.48769960282063e-199	5.26059847059065	0.118	0.006	8.56020990516295e-195
RPS7	1.41775257777575e-198	-0.471403085091594	0.903	0.968	3.47973192689281e-194
IRS2	1.81255697248655e-195	2.04565290870425	0.295	0.097	4.448739833271e-191
PIGR	4.7359414760819e-194	7.63979929170135	0.098	0.001	1.16238947588954e-189
VPS37B	6.40074454737424e-194	1.70728163972721	0.436	0.214	1.57099874170753e-189
POLR2J3.1	1.05128151924533e-192	-1.1176097767551	0.36	0.606	2.58026536083574e-188
ELL2	7.07755712507395e-192	2.43224591319259	0.218	0.052	1.73711562077815e-187
RPL7A	7.23816560119329e-188	-0.469951118564022	0.907	0.969	1.77653536515688e-183
CSRNP1	7.97083148104166e-188	1.89256720354515	0.313	0.113	1.95636087870686e-183
SAMSN1	5.66813281525612e-187	1.76697347347972	0.555	0.384	1.39118651817646e-182
FAU	1.01612758322648e-182	-0.448451986545178	0.926	0.972	2.49398354027107e-178
MALAT1	2.85451895780389e-182	-0.278778139637412	0.998	0.999	7.00613133003387e-178
NFE2L2	5.00013482794462e-181	1.65586091419101	0.468	0.253	1.22723309217073e-176
GZMM	8.43361494275152e-179	-1.2864122667479	0.195	0.438	2.06994645154893e-174
YWHAZ	1.45394389289945e-178	0.769127580657771	0.84	0.772	3.56855989073242e-174
AL031777.3	2.92227889637424e-178	-2.38702981133329	0.083	0.294	7.17244132326094e-174
IL6ST	7.4326676625781e-178	1.60997663765124	0.372	0.16	1.82427395110317e-173
BIRC3	1.18796345875224e-176	1.41545286866882	0.635	0.459	2.91573751316151e-172
RPL27A	2.77840384365153e-175	-0.425981460364883	0.95	0.981	6.81931439385832e-171
RPS2	5.9150335610463e-175	-0.418020833946978	0.961	0.988	1.4517858372232e-170
PTGDR	4.0687703431677e-174	-4.27077504851475	0.01	0.18	9.9863899302708e-170
NEAT1	5.45474574676777e-173	0.915891579482087	0.928	0.898	1.33881279608668e-168
TNFRSF18	1.435068702251e-171	2.82849428164658	0.213	0.059	3.52223262280485e-167
GIMAP4	3.06366840257031e-170	-1.03177084467185	0.261	0.51	7.51946772726856e-166
LINC00861	1.556653538311e-167	-1.7310019842322	0.136	0.354	3.82065044443053e-163
EZR	1.50665001292378e-164	1.25958790704449	0.599	0.427	3.69792179172013e-160
N4BP2L2	4.14581976565913e-164	-0.741209535842613	0.553	0.774	1.01755000328338e-159
LYZ	4.70226488760912e-164	3.48904933752707	0.12	0.013	1.15412389401478e-159
RPL36A	1.24557414186669e-163	-0.678544205377827	0.497	0.77	3.0571371737976e-159
PELI1	1.43010854184359e-163	2.34857469182073	0.21	0.057	3.5100584051009e-159
RYBP	7.66309236466735e-163	1.87039957873958	0.31	0.123	1.88082938998395e-158
SELENOK	1.76265128779819e-161	1.16925499585925	0.62	0.449	4.32625132077188e-157
RPL3	3.54654434693886e-161	-0.396840778381446	0.903	0.972	8.70463844512675e-157
TAF7	4.56159772060376e-161	-1.11568861592885	0.335	0.553	1.11959854454499e-156
TOMM7	8.20209910130975e-161	-0.594865122016227	0.667	0.87	2.01312320342546e-156
NABP1	2.04666599299092e-160	-1.01046847769408	0.405	0.631	5.02333701319692e-156
JMY	2.57909116453954e-157	2.02807594363124	0.295	0.116	6.33012135424585e-153
AC243960.1	2.90049809958656e-157	-1.74271173603108	0.153	0.364	7.11898253562525e-153
RPL28	3.70945992709762e-157	-0.357760530812049	0.986	0.989	9.1044984450684e-153
SRSF7	5.56590070661343e-157	-0.762726192486498	0.712	0.875	1.3660946694312e-152
MYL12A	1.43539811092459e-155	-0.572248676911746	0.712	0.861	3.52304112345332e-151
HIST1H2BG	2.91981542862421e-155	-2.04825861301128	0.08	0.275	7.16639498801527e-151
ACTN1	1.79147990506151e-152	2.85271841647539	0.137	0.022	4.39700827898296e-148
PDE3B	2.8788733373175e-152	1.35398906177715	0.421	0.217	7.06590671911206e-148
IL7R	6.06806983508142e-152	-1.06654453002419	0.479	0.642	1.48934706032238e-147
RPS21	6.40921986844172e-152	-0.399439385332438	0.907	0.973	1.57307892451034e-147
RPS3A	8.2267783435558e-152	-0.256236354603492	0.923	0.983	2.01918047664233e-147
RPS14	1.1347910574361e-151	-0.399139817671169	0.962	0.978	2.78523117137117e-147
