"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"JUN",0,0.719775198868475,0.947,0.803,0,"0","JUN",0.144
"JUNB",0,0.711329762884748,0.979,0.88,0,"0","JUNB",0.099
"FOS",0,0.704321756579457,0.919,0.746,0,"0","FOS",0.173
"HSP90AA1",0,0.572343852403828,0.996,0.989,0,"0","HSP90AA1",0.00700000000000001
"FOSB",0,0.543669321691663,0.906,0.736,0,"0","FOSB",0.17
"DNAJB1",0,0.509205118070343,0.935,0.761,0,"0","DNAJB1",0.174
"INTS6",3.91996275856862e-291,0.61222566079533,0.834,0.641,7.63687144624338e-287,"0","INTS6",0.193
"EGR1",4.29824833141481e-274,0.577101232438943,0.639,0.364,8.37384739926234e-270,"0","EGR1",0.275
"H3F3B",8.62362034225532e-264,0.372338427494127,0.995,0.983,1.68005371507818e-259,"0","H3F3B",0.012
"DUSP1",1.78270712677154e-244,0.484023077114563,0.753,0.527,3.47307002437632e-240,"0","DUSP1",0.226
"FUS",1.15040230872964e-243,0.439500310809684,0.928,0.827,2.24121377786709e-239,"0","FUS",0.101
"HEXIM1",1.28639653983458e-242,0.478209808946307,0.75,0.521,2.50615773890573e-238,"0","HEXIM1",0.229
"JUND",4.79610832622506e-239,0.381027209786,0.978,0.91,9.34377824115165e-235,"0","JUND",0.0679999999999999
"UBE2S",4.89271550732345e-213,0.434860606907767,0.674,0.448,9.53198835136754e-209,"0","UBE2S",0.226
"BTG2",1.4885011487988e-207,0.446906727458461,0.801,0.606,2.89989793808981e-203,"0","BTG2",0.195
"DNAJA1",5.20055631477876e-206,0.497643949719414,0.88,0.747,1.0131723812452e-201,"0","DNAJA1",0.133
"NR4A1",2.84373107128481e-199,0.411669558822325,0.537,0.302,5.54015687307706e-195,"0","NR4A1",0.235
"HSPA1B",1.37156411191276e-193,0.459036192004746,0.844,0.66,2.67208120282844e-189,"0","HSPA1B",0.184
