"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006413","GO:0006413","translational initiation","69/931","183/17913",2.21983568323127e-41,1.11191569373054e-37,8.76250927591289e-38,"ATF4/DDX3X/EIF1/EIF1AX/EIF1B/EIF2A/EIF3D/EIF3F/EIF3H/EIF3K/EIF4A1/EIF4A2/EIF4B/EIF4G2/EIF5/MTIF3/NCK2/PABPC1/PPP1R15A/PPP1R15B/RBM4/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/TNF/TPR/UBA52",69
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","71/931","197/17913",5.17822167517932e-41,1.29688561854866e-37,1.02201743589065e-37,"CNOT3/CNOT4/CNOT6/CNOT7/DDX5/DHX36/EXOSC6/EXOSC9/MAGOHB/MLH1/PABPC1/PATL1/PPP2CA/PPP2R2A/RBM8A/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SECISBP2/SMG5/TNRC6B/TNRC6C/TOB1/UBA52/WDR61/ZC3H12A/ZFP36/ZFP36L1/ZFP36L2",71
"GO:0006401","GO:0006401","RNA catabolic process","94/931","368/17913",1.16975109815037e-39,1.83292901361867e-36,1.44444921269505e-36,"AKT1/ALKBH5/CIRBP/CNOT3/CNOT4/CNOT6/CNOT7/DDX5/DEDD2/DHX36/DHX9/EXOSC6/EXOSC9/GTPBP1/HNRNPA0/HNRNPC/HNRNPU/HSPA1A/HSPA8/KHSRP/LRPPRC/MAGOHB/MLH1/NAF1/PABPC1/PABPC4/PATL1/PPP2CA/PPP2R2A/PSMC6/RBM8A/RNH1/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SECISBP2/SIDT2/SMG5/SYNCRIP/TARDBP/TNRC6B/TNRC6C/TOB1/UBA52/UBB/UBC/WDR61/ZC3H12A/ZC3HAV1/ZFP36/ZFP36L1/ZFP36L2",94
"GO:0006402","GO:0006402","mRNA catabolic process","90/931","338/17913",1.46370853553098e-39,1.83292901361867e-36,1.44444921269505e-36,"AKT1/ALKBH5/CIRBP/CNOT3/CNOT4/CNOT6/CNOT7/DDX5/DHX36/DHX9/EXOSC6/EXOSC9/GTPBP1/HNRNPA0/HNRNPC/HNRNPU/HSPA1A/HSPA8/KHSRP/MAGOHB/MLH1/PABPC1/PABPC4/PATL1/PPP2CA/PPP2R2A/PSMC6/RBM8A/RNH1/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SECISBP2/SMG5/SYNCRIP/TARDBP/TNRC6B/TNRC6C/TOB1/UBA52/UBB/UBC/WDR61/ZC3H12A/ZC3HAV1/ZFP36/ZFP36L1/ZFP36L2",90
"GO:0019080","GO:0019080","viral gene expression","68/931","191/17913",6.47695031443773e-39,6.48860882500372e-36,5.11338182718768e-36,"CHD1/DHX9/EIF3D/EIF3F/GTF2B/GTF2F2/JUN/LEF1/NUP50/NUP62/PCBP2/POLR2A/POLR2C/POLR2H/POM121/POM121C/PTBP1/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/TAF11/TARDBP/TPR/TRIM8/UBA52/ZFP36",68
"GO:0019083","GO:0019083","viral transcription","64/931","177/17913",3.78321924213069e-37,3.15835753063877e-34,2.48896002771756e-34,"CHD1/DHX9/GTF2B/GTF2F2/JUN/LEF1/NUP50/NUP62/POLR2A/POLR2C/POLR2H/POM121/POM121C/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/TAF11/TARDBP/TPR/TRIM8/UBA52/ZFP36",64
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","53/931","118/17913",1.09729704715085e-36,7.85194415596944e-34,6.18776530348224e-34,"MAGOHB/PABPC1/PPP2CA/PPP2R2A/RBM8A/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SECISBP2/SMG5/UBA52",53
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","51/931","128/17913",3.1998717750549e-32,2.00351971515625e-29,1.57888409953367e-29,"GPAA1/HSPA5/INSIG1/PPP1R15A/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/RTN4/UBA52",51
"GO:0045047","GO:0045047","protein targeting to ER","47/931","108/17913",6.95160919912461e-32,3.7683662182168e-29,2.96968053678389e-29,"HSPA5/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/UBA52",47
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","46/931","103/17913",7.52319069318586e-32,3.7683662182168e-29,2.96968053678389e-29,"RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/UBA52",46
